Model,Accuracy,Precision,Recall
Logistic,0.8008998875140607,0.7603833865814696,0.7
Xgboost,0.8256467941507312,0.7744807121661721,0.7676470588235295
Pycaret,0.8875140607424072,0.9081632653061225,0.7852941176470588
